day,slice,sex,age,educ,effective,healthy,avgOpinion
1,0,1,1,1,268755,0,0.4307731496794566
1,0,1,1,2,154997,14779,0.3979500157295223
1,0,1,1,3,134073,5349,0.4344405337822417
1,0,1,2,1,1077639,52831,0.40260292528701636
1,0,1,2,2,663188,26574,0.44120080134666295
1,0,1,2,3,622468,84929,0.4727431989912711
1,0,1,3,1,424154,34401,0.4374223190322478
1,0,1,3,2,261800,65375,0.42863686722264727
1,0,1,3,3,263852,43698,0.40047421973750175
1,0,2,1,1,267911,15609,0.4526507542121486
1,0,2,1,2,186844,4301,0.46086720543055576
1,0,2,1,3,123183,0,0.5311463419715465
1,0,2,2,1,1105139,117622,0.4894165015665481
1,0,2,2,2,814062,72617,0.504662110898938
1,0,2,2,3,560368,100700,0.5335595057464002
1,0,2,3,1,533896,54284,0.5069691359772773
1,0,2,3,2,403540,76463,0.5301737954339552
1,0,2,3,3,298401,164978,0.5120896313895397
1,1,1,1,1,268755,7537,0.34818965194418067
1,1,1,1,2,155050,13945,0.33370730491266426
1,1,1,1,3,134074,8111,0.3560045154590862
1,1,1,2,1,1077629,55709,0.3342956185289429
1,1,1,2,2,663189,35982,0.36210714137194194
1,1,1,2,3,622457,90863,0.39829846078227654
1,1,1,3,1,424155,34685,0.36595454280296436
1,1,1,3,2,261808,59720,0.3794649053008491
1,1,1,3,3,263851,38943,0.3476257772625732
1,1,2,1,1,267920,22965,0.3711217052922899
1,1,2,1,2,186862,8745,0.3739864830071424
1,1,2,1,3,123185,5014,0.419703617456138
1,1,2,2,1,1105068,133930,0.407421797865908
1,1,2,2,2,814049,89306,0.41719676059321364
1,1,2,2,3,560352,112348,0.45139950685995434
1,1,2,3,1,533893,64903,0.4219419342003818
1,1,2,3,2,403589,82671,0.4485470493285173
1,1,2,3,3,298384,160010,0.4814310694091217
1,2,1,1,1,268816,8223,0.28939182064700825
1,2,1,1,2,155069,12693,0.28680986945929127
1,2,1,1,3,134075,7998,0.29979013668232735
1,2,1,2,1,1077659,51951,0.2858711431119954
1,2,1,2,2,663125,34664,0.30345575031213645
1,2,1,2,3,622430,87022,0.34232440931138575
1,2,1,3,1,424152,33151,0.31722821356918424
1,2,1,3,2,261808,56362,0.34753949261602346
1,2,1,3,3,263852,35432,0.30964489006938906
1,2,2,1,1,267915,22734,0.3150491306360763
1,2,2,1,2,186886,8768,0.3106450287896228
1,2,2,1,3,123193,5483,0.33873246964199416
1,2,2,2,1,1105043,131032,0.3506539851185024
1,2,2,2,2,814085,88199,0.3528425425207358
1,2,2,2,3,560317,110151,0.3887316921726305
1,2,2,3,1,533892,64510,0.36415153742961986
1,2,2,3,2,403602,81725,0.39216838270360616
1,2,2,3,3,298351,155878,0.4659697742887181
2,0,1,1,1,268776,8195,0.2509026198670776
2,0,1,1,2,155002,11868,0.25448061007687556
2,0,1,1,3,134084,7737,0.2611045122241582
2,0,1,2,1,1077663,49818,0.25137556672999745
2,0,1,2,2,663099,33585,0.26457854019016264
2,0,1,2,3,622396,84115,0.3059159873852775
2,0,1,3,1,424177,32332,0.2809015061340532
2,0,1,3,2,261808,54722,0.32530053356543787
2,0,1,3,3,263863,33700,0.28120306646632737
2,0,2,1,1,267915,22098,0.2783728904938959
2,0,2,1,2,186879,8561,0.2679628657084771
2,0,2,1,3,123178,5462,0.28761175643104686
2,0,2,2,1,1105108,128359,0.3116513132269944
2,0,2,2,2,814125,86682,0.3108578576942263
2,0,2,2,3,560271,108165,0.35024035512555163
2,0,2,3,1,533899,63608,0.32243004703458283
2,0,2,3,2,403642,80757,0.3553799763539607
2,0,2,3,3,298385,153223,0.46096910545861514
2,1,1,1,1,268724,8161,0.22218891755424267
2,1,1,1,2,154976,11429,0.23094049488441465
2,1,1,1,3,134058,7593,0.2341672516443568
2,1,1,2,1,1077703,48822,0.22522106312694753
2,1,1,2,2,663071,33082,0.23584701793305396
2,1,1,2,3,622354,82771,0.28053914722021983
2,1,1,3,1,424206,31966,0.2532514521762864
2,1,1,3,2,261830,54042,0.30871724543862245
2,1,1,3,3,263865,32884,0.2606860650993898
2,1,2,1,1,267897,21768,0.25081681347555046
2,1,2,1,2,186849,8481,0.23753478553765683
2,1,2,1,3,123157,5439,0.2507154686494123
2,1,2,2,1,1105207,127178,0.2822273509579611
2,1,2,2,2,814131,86042,0.2803104238192102
2,1,2,2,3,560241,107237,0.3241072307173697
2,1,2,3,1,533910,63245,0.29198273570200284
2,1,2,3,2,403701,80246,0.328185475914958
2,1,2,3,3,298390,152039,0.46157981212832827
2,2,1,1,1,268685,8093,0.1985793546716249
2,2,1,1,2,154974,11030,0.21065133173035958
2,2,1,1,3,134044,7452,0.2111084267325211
2,2,1,2,1,1077749,48062,0.20443615319430564
2,2,1,2,2,663104,32552,0.2114859449044559
2,2,1,2,3,622337,81657,0.2557160364590001
2,2,1,3,1,424209,31808,0.23188656011022807
2,2,1,3,2,261841,53727,0.29517218474733486
2,2,1,3,3,263876,32465,0.24367129627721484
2,2,2,1,1,267927,21508,0.22693758980088827
2,2,2,1,2,186813,8371,0.21178003276975857
2,2,2,1,3,123150,5394,0.21970372981173023
2,2,2,2,1,1105237,126369,0.2574532178500232
2,2,2,2,2,814083,85369,0.2525488691701141
2,2,2,2,3,560202,106352,0.2958254748472683
2,2,2,3,1,533919,63050,0.26681758119244875
2,2,2,3,2,403720,79756,0.30344433551688993
