day,slice,sex,age,educ,effective,healthy,avgOpinion
1,0,1,1,1,268755,0,0.4307731496794566
1,0,1,1,2,154997,14779,0.3979500157295223
1,0,1,1,3,134073,5349,0.4344405337822417
1,0,1,2,1,1077639,52831,0.40260292528701636
1,0,1,2,2,663188,26574,0.44120080134666295
1,0,1,2,3,622468,84929,0.4727431989912711
1,0,1,3,1,424154,34401,0.4374223190322478
1,0,1,3,2,261800,65375,0.42863686722264727
1,0,1,3,3,263852,43698,0.40047421973750175
1,0,2,1,1,267911,15609,0.4526507542121486
1,0,2,1,2,186844,4301,0.46086720543055576
1,0,2,1,3,123183,0,0.5311463419715465
1,0,2,2,1,1105139,117622,0.4894165015665481
1,0,2,2,2,814062,72617,0.504662110898938
1,0,2,2,3,560368,100700,0.5335595057464002
1,0,2,3,1,533896,54284,0.5069691359772773
1,0,2,3,2,403540,76463,0.5301737954339552
1,0,2,3,3,298401,164978,0.5120896313895397
1,1,1,1,1,268741,7433,0.3455280814617247
1,1,1,1,2,155015,13784,0.3322735711446851
1,1,1,1,3,134083,8206,0.3586196053121007
1,1,1,2,1,1077628,55326,0.33219889593226193
1,1,1,2,2,663178,35733,0.36165285406878916
1,1,1,2,3,622468,91387,0.4015678471151703
1,1,1,3,1,424144,34600,0.3643666068656331
1,1,1,3,2,261782,59673,0.3797203673900998
1,1,1,3,3,263850,39277,0.35184249290483566
1,1,2,1,1,267911,22930,0.3687582782685501
1,1,2,1,2,186856,8730,0.3733379747083238
1,1,2,1,3,123196,5005,0.4226545579107484
1,1,2,2,1,1105123,133159,0.40567270420033924
1,1,2,2,2,814084,89095,0.4170321538288511
1,1,2,2,3,560368,112969,0.4545751545287796
1,1,2,3,1,533902,64864,0.4211116564872393
1,1,2,3,2,403544,82523,0.4495932980991715
1,1,2,3,3,298397,160711,0.4856852423521297
1,2,1,1,1,268758,8031,0.2839334684759932
1,2,1,1,2,155024,12551,0.28449532040015185
1,2,1,1,3,134096,8096,0.3048349766616486
1,2,1,2,1,1077641,51706,0.28192621954267216
1,2,1,2,2,663130,34407,0.3025338306633298
1,2,1,2,3,622480,88048,0.34884800354341566
1,2,1,3,1,424144,33021,0.3143254606230023
1,2,1,3,2,261785,56307,0.34779135548899826
1,2,1,3,3,263855,36016,0.3176650937115845
1,2,2,1,1,267894,22587,0.3103925873636048
1,2,2,1,2,186872,8761,0.3093605137583738
1,2,2,1,3,123210,5567,0.34432194106016256
1,2,2,2,1,1105138,129803,0.3472603907396717
1,2,2,2,2,814064,88192,0.3526153302300556
1,2,2,2,3,560330,111214,0.3950716079560309
1,2,2,3,1,533901,64356,0.36254322043653325
1,2,2,3,2,403551,81749,0.39386777094425945
1,2,2,3,3,298397,156914,0.47445716575584107
2,0,1,1,1,268714,8001,0.2436617619224273
2,0,1,1,2,154999,11766,0.25147251095729
2,0,1,1,3,134100,7887,0.26792465906946505
2,0,1,2,1,1077666,49395,0.24613148507943136
2,0,1,2,2,663109,33314,0.26334495690396403
2,0,1,2,3,622487,85510,0.3147485315026525
2,0,1,3,1,424170,32128,0.27699466085745517
2,0,1,3,2,261787,54696,0.32568653939294184
2,0,1,3,3,263876,34419,0.292316136472135
2,0,2,1,1,267883,21876,0.27233877583790056
2,0,2,1,2,186849,8545,0.266073241179958
2,0,2,1,3,123206,5557,0.29489402761291567
2,0,2,2,1,1105167,127102,0.30708773561765035
2,0,2,2,2,814049,86624,0.3106187567017084
2,0,2,2,3,560326,109380,0.3589050240822981
2,0,2,3,1,533935,63385,0.32019367822183764
2,0,2,3,2,403550,80761,0.357674924295148
2,0,2,3,3,298397,154729,0.4731324100011474
2,1,1,1,1,268678,7963,0.21395677272305708
2,1,1,1,2,154943,11306,0.22742780268240467
2,1,1,1,3,134099,7754,0.2421632498470454
2,1,1,2,1,1077679,48191,0.21908968525025715
2,1,1,2,2,663098,32740,0.2344133262060695
2,1,1,2,3,622463,84357,0.2910789166612075
2,1,1,3,1,424205,31734,0.24865030364253524
2,1,1,3,2,261788,53965,0.3091279383577223
2,1,1,3,3,263874,33806,0.2740503548635593
2,1,2,1,1,267893,21493,0.24366316173670502
2,1,2,1,2,186844,8426,0.23535188118170378
2,1,2,1,3,123178,5542,0.2594122897031494
2,1,2,2,1,1105221,125788,0.276814604380575
2,1,2,2,2,814065,85940,0.2800587033532916
2,1,2,2,3,560334,108629,0.33426996668028564
2,1,2,3,1,533931,62974,0.2893278432633296
2,1,2,3,2,403582,80206,0.3309547078433456
2,1,2,3,3,298395,153836,0.47607154576054606
2,2,1,1,1,268683,7888,0.1894531547928228
2,2,1,1,2,154943,10888,0.2066357942140396
2,2,1,1,3,134111,7632,0.2202567081936809
2,2,1,2,1,1077695,47335,0.19741504264663914
2,2,1,2,2,663067,32219,0.20977596766880513
2,2,1,2,3,622431,83372,0.267710042523047
2,2,1,3,1,424215,31552,0.22675899866627258
2,2,1,3,2,261785,53657,0.29559907338621916
2,2,1,3,3,263878,33496,0.25883975205348453
2,2,2,1,1,267890,21158,0.21847869460640468
2,2,2,1,2,186845,8308,0.20918165991386445
2,2,2,1,3,123185,5494,0.22947102669013045
2,2,2,2,1,1105229,124896,0.2513866348583778
2,2,2,2,2,814057,85304,0.2523362227579724
2,2,2,2,3,560327,107862,0.3072922776154286
2,2,2,3,1,533944,62739,0.2638600338428084
2,2,2,3,2,403604,79768,0.3065502946383462
