Sex,Age,Edu,n,n_1996,n_2002,n_2008,conso_5_1996,conso_5_2002,conso_5_2008,conso_5_all_years,contrainte_foyer,contrainte_budget,contrainte_temps,social_context_breakfast,social_context_lunch,social_context_dinner,opinion_index_q1,opinion_index_q2,opinion_index_q3,opinion_index_q4,opinion_index_q5
1,1,1,461,74,101,286,0,0.0198019801980198,0.041958041958042,0.0303687635574837,0.558208955223881,0.540229885057471,0.456647398843931,0.0995024875621891,0.364269141531323,0.141255605381166,0.0816326530612245,0.459183673469388,0.244897959183673,0.153061224489796,0.0612244897959184
1,1,2,305,64,86,155,0.09375,0.0232558139534884,0.0516129032258065,0.0524590163934426,0.637837837837838,0.587155963302752,0.548387096774194,0.134831460674157,0.343642611683849,0.216949152542373,0.104651162790698,0.430232558139535,0.372093023255814,0.0581395348837209,0.0348837209302326
1,1,3,139,25,46,68,0.04,0.0652173913043478,0.0735294117647059,0.0647482014388489,0.705128205128205,0.563636363636364,0.596330275229358,0.0813008130081301,0.317829457364341,0.213235294117647,0.0869565217391304,0.434782608695652,0.260869565217391,0.152173913043478,0.0652173913043478
1,2,1,782,186,241,355,0.0483870967741935,0.0497925311203319,0.0816901408450704,0.0639386189258312,0.64,0.586092715231788,0.432885906040268,0.0639147802929427,0.188502673796791,0.078740157480315,0.0593220338983051,0.495762711864407,0.334745762711864,0.0932203389830508,0.0169491525423729
1,2,2,422,75,122,225,0.04,0.0737704918032787,0.111111111111111,0.0876777251184834,0.829710144927536,0.475644699140401,0.492795389048991,0.0595533498759305,0.290322580645161,0.103864734299517,0.040983606557377,0.442622950819672,0.311475409836066,0.180327868852459,0.0245901639344262
1,2,3,364,66,118,180,0.136363636363636,0.0593220338983051,0.166666666666667,0.126373626373626,0.825726141078838,0.434920634920635,0.619047619047619,0.0428571428571429,0.251445086705202,0.114525139664804,0.0338983050847458,0.355932203389831,0.38135593220339,0.169491525423729,0.0593220338983051
1,3,1,318,74,95,149,0.0810810810810811,0.147368421052632,0.174496644295302,0.144654088050314,0.566502463054187,0.520661157024793,0.264705882352941,0.0253968253968254,0.0378548895899054,0.0256410256410256,0.0752688172043011,0.290322580645161,0.516129032258065,0.10752688172043,0.010752688172043
1,3,2,85,8,31,46,0.25,0.032258064516129,0.239130434782609,0.164705882352941,0.862745098039216,0.426470588235294,0.373134328358209,0.0238095238095238,0.0481927710843374,0.0235294117647059,0.032258064516129,0.387096774193548,0.516129032258065,0.032258064516129,0.032258064516129
1,3,3,80,18,28,34,0.166666666666667,0.178571428571429,0.205882352941176,0.1875,0.928571428571429,0.279411764705882,0.522388059701492,0.0256410256410256,0.10126582278481,0.075,0.0357142857142857,0.571428571428571,0.25,0.142857142857143,0
2,1,1,440,86,109,245,0.0581395348837209,0.036697247706422,0.0693877551020408,0.0590909090909091,0.704477611940298,0.655172413793103,0.544668587896254,0.0810126582278481,0.270983213429257,0.0960187353629977,0.11214953271028,0.392523364485981,0.214953271028037,0.177570093457944,0.102803738317757
2,1,2,401,88,122,191,0.0227272727272727,0.040983606557377,0.0890052356020942,0.0598503740648379,0.737827715355805,0.662420382165605,0.617834394904459,0.0694444444444444,0.296296296296296,0.166666666666667,0.040983606557377,0.426229508196721,0.262295081967213,0.229508196721311,0.040983606557377
2,1,3,224,46,57,121,0,0.105263157894737,0.0578512396694215,0.0580357142857143,0.84375,0.709497206703911,0.752808988764045,0.119617224880383,0.357798165137615,0.17351598173516,0.0350877192982456,0.175438596491228,0.491228070175439,0.192982456140351,0.105263157894737
2,2,1,955,245,341,369,0.106122448979592,0.134897360703812,0.105691056910569,0.116230366492147,0.760162601626016,0.725146198830409,0.57093023255814,0.0448717948717949,0.135964912280702,0.0502673796791444,0.03003003003003,0.276276276276276,0.465465465465465,0.174174174174174,0.0540540540540541
2,2,2,592,112,178,302,0.0892857142857143,0.146067415730337,0.119205298013245,0.121621621621622,0.820128479657388,0.653429602888087,0.66304347826087,0.0360205831903945,0.213028169014085,0.0737564322469983,0.0224719101123595,0.230337078651685,0.51123595505618,0.174157303370787,0.0617977528089888
2,2,3,419,84,124,211,0.178571428571429,0.145161290322581,0.170616113744076,0.164677804295943,0.833855799373041,0.595907928388747,0.736572890025575,0.0365853658536585,0.24330900243309,0.097323600973236,0.0241935483870968,0.193548387096774,0.451612903225806,0.25,0.0806451612903226
2,3,1,604,128,235,241,0.1015625,0.2,0.219917012448133,0.187086092715232,0.6875,0.722996515679443,0.344947735191638,0.0150753768844221,0.0783333333333333,0.0505050505050505,0.0175438596491228,0.223684210526316,0.521929824561403,0.179824561403509,0.0570175438596491
2,3,2,154,21,46,87,0.19047619047619,0.260869565217391,0.310344827586207,0.279220779220779,0.741935483870968,0.697986577181208,0.513333333333333,0.0714285714285714,0.164473684210526,0.0810810810810811,0,0.130434782608696,0.652173913043478,0.152173913043478,0.0652173913043478
2,3,3,66,9,17,40,0.555555555555556,0.235294117647059,0.3,0.318181818181818,0.8,0.615384615384615,0.646153846153846,0.0454545454545455,0.138461538461538,0.0923076923076923,0,0.176470588235294,0.705882352941177,0,0.117647058823529
