,n,conso_5_1996,conso_5_2002,conso_5_2008,contrainte_foyer,contrainte_budget,contrainte_temps
1_1_1,461,0,0.0087719298245614,0.0297766749379653,0.0534591194968553,0.0520631404043201,0.0507060333761232
1_1_2,305,0.047244094488189,0.0087719298245614,0.0198511166253102,0.0337335620354488,0.0354472445306009,0.0381899871630295
1_1_3,139,0.0078740157480315,0.0131578947368421,0.0124069478908189,0.0157232704402516,0.0171697590695098,0.0208600770218229
1_2_1,782,0.0708661417322835,0.0526315789473684,0.0719602977667494,0.0914808461978273,0.0980337856549432,0.082798459563543
1_2_2,422,0.0236220472440945,0.0394736842105263,0.0620347394540943,0.0654659805603202,0.0459706452506231,0.0548780487804878
1_2_3,364,0.0708661417322835,0.0307017543859649,0.0744416873449131,0.0568896512292739,0.0379396289116588,0.0625802310654685
1_3_1,318,0.047244094488189,0.0614035087719298,0.0645161290322581,0.0328759291023442,0.0348933813348103,0.0202182284980745
1_3_2,85,0.015748031496063,0.0043859649122807,0.0272952853598015,0.0125786163522013,0.00803101633896428,0.00802310654685494
1_3_3,80,0.0236220472440945,0.0219298245614035,0.0173697270471464,0.0148656375071469,0.00526170036001108,0.0112323491655969
2_1_1,440,0.0393700787401575,0.0175438596491228,0.0421836228287841,0.0674671240708977,0.0631404043201329,0.0606546854942234
2_1_2,401,0.015748031496063,0.0219298245614035,0.0421836228287841,0.0563178959405375,0.0576017723622265,0.0622593068035944
2_1_3,224,0,0.0263157894736842,0.0173697270471464,0.0308747855917667,0.0351703129327056,0.0430038510911425
2_2_1,955,0.204724409448819,0.201754385964912,0.0967741935483871,0.160377358490566,0.171697590695098,0.157573812580231
2_2_2,592,0.078740157480315,0.114035087719298,0.0893300248138958,0.109491137793025,0.100249238438106,0.117458279845956
2_2_3,419,0.118110236220472,0.0789473684210526,0.0893300248138958,0.076043453401944,0.0645250623096095,0.0924261874197689
2_3_1,604,0.102362204724409,0.206140350877193,0.13151364764268,0.0723270440251572,0.114926613126558,0.0635430038510911
2_3_2,154,0.031496062992126,0.0526315789473684,0.0669975186104218,0.0197255574614065,0.0288008861811133,0.0247111681643132
2_3_3,66,0.0393700787401575,0.0175438596491228,0.0297766749379653,0.00914808461978273,0.0110772639158128,0.0134788189987163
