runN,Variables,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),16,56,57,54,52,55,56,52,53,54,53,50,50,54,50,51,54,53,52,52,49,51,47,52,51,51,50,49,49,52,45,49,52,48,54,55,49,51,52,50,48,50,51,48,48,53,48,47,51,50,52
1,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),10,30,38,47,46,43,45,44,47,46,44,45,44,49,51,51,50,50,49,45,48,50,48,49,48,46,46,49,50,53,51,53,51,47,46,47,49,48,48,46,49,47,46,48,51,52,52,51,49,49,52
1,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),14,29,37,42,43,44,45,47,46,48,50,44,46,50,47,49,48,45,44,46,46,46,48,49,48,48,46,51,48,53,50,50,50,52,51,51,50,51,52,49,48,50,52,48,49,50,49,50,48,48,50
1,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),17,55,55,56,51,51,54,51,53,53,54,53,53,48,51,47,48,52,48,54,53,51,49,50,49,51,53,51,50,51,50,52,52,50,49,51,53,51,52,44,47,50,55,51,50,55,52,48,49,52,48
2,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),17,54,55,50,53,51,49,49,53,46,50,53,52,51,52,50,49,53,52,52,54,49,53,50,50,54,52,50,52,49,51,54,50,57,52,51,50,53,49,52,54,55,51,47,53,51,50,51,50,53,48
2,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),16,32,37,43,43,47,49,47,47,49,51,50,47,51,51,51,48,47,47,45,47,46,48,50,49,50,47,48,48,47,49,47,48,45,47,45,49,48,47,47,50,51,54,52,49,47,48,48,52,50,47
2,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 0] * 100)/ count parisians with [act1? = 1 and act2? = 0]),16,33,40,44,45,44,43,45,45,48,48,49,51,51,49,47,48,48,44,48,46,47,46,48,48,48,49,53,51,52,51,49,50,51,47,48,46,50,48,50,49,46,45,45,48,45,47,48,48,48,50
2,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 1] * 100)/ count parisians with [act1? = 0 and act2? = 1]),13,57,56,54,51,50,54,54,51,56,51,49,47,48,52,50,48,50,51,53,47,51,53,53,54,53,52,50,49,48,49,53,51,47,50,52,50,50,49,53,49,50,52,53,52,50,53,50,52,53,47
3,round((count parisians with [Meat? = 1 and act1? = 1 and act2? = 1] * 100)/ count parisians with [act1? = 1 and act2? = 1]),13,51,51,57,54,58,54,59,52,51,50,55,52,52,49,50,51,58,52,50,51,51,52,51,53,50,53,52,51,50,51,48,49,50,50,51,54,50,48,50,49,50,52,51,51,50,51,48,50,50,49
3,round((count parisians with [Meat? = 1 and act1? = 0 and act2? = 0] * 100)/ count parisians with [act1? = 0 and act2? = 0]),18,32,37,39,44,43,44,44,43,45,45,45,47,49,48,45,48,45,46,49,47,46,46,46,48,48,47,47,45,46,48,48,48,46,46,47,44,44,47,49,50,48,49,48,49,52,50,48,48,47,50
