seed,probMeat,k,EquipmentPerPerson,nPeople,switchers,meatersA1,meatersA2,meatersImmo
325557176,0.9,1.9000000000000006,0.5,1000.0,50714.0,61.0,47.0,57.0
1751632464,0.9,1.9000000000000006,0.5,1000.0,51685.0,61.0,49.0,56.0
-1300546697,0.9,1.9000000000000006,0.5,1000.0,53318.0,63.0,48.0,55.0
-1981890404,0.9,1.9000000000000006,0.5,1000.0,52101.0,56.0,45.0,57.0
-601503117,0.9,1.9000000000000006,0.5,1000.0,49766.0,57.0,48.0,57.0
-1841472999,0.9,1.9000000000000006,0.5,1000.0,53975.0,55.0,49.0,56.0
-478293369,0.9,1.9000000000000006,0.5,1000.0,53755.0,61.0,46.0,62.0
-2037149536,0.9,1.9000000000000006,0.5,1000.0,50978.0,55.0,47.0,61.0
-506196718,0.9,1.9000000000000006,0.5,1000.0,50703.0,61.0,42.0,61.0
423478652,0.9,1.9000000000000006,0.5,1000.0,52638.0,56.0,48.0,55.0
628258696,0.1,0.05,0.5,500.0,735.0,28.0,57.0,28.0
-555890679,0.1,0.05,0.5,500.0,730.0,28.0,60.0,30.0
88614704,0.1,0.05,0.5,500.0,743.0,27.0,70.0,17.0
-1061417069,0.1,0.05,0.5,500.0,767.0,26.0,55.0,28.0
-530815327,0.1,0.05,0.5,500.0,767.0,28.0,58.0,36.0
349382583,0.1,0.05,0.5,500.0,829.0,34.0,56.0,20.0
1235791439,0.1,0.05,0.5,500.0,700.0,24.0,68.0,22.0
23841444,0.1,0.05,0.5,500.0,735.0,30.0,52.0,24.0
1148559374,0.1,0.05,0.5,500.0,825.0,27.0,59.0,37.0
803471714,0.1,0.05,0.5,500.0,757.0,31.0,52.0,30.0
46626899,0.8,0.060000000000000005,0.5,1000.0,1857.0,64.0,45.0,63.0
-847246022,0.8,0.060000000000000005,0.5,1000.0,2082.0,65.0,49.0,60.0
668887273,0.8,0.060000000000000005,0.5,1000.0,1866.0,68.0,39.0,61.0
-230868439,0.8,0.060000000000000005,0.5,1000.0,1939.0,55.0,45.0,63.0
579753227,0.8,0.060000000000000005,0.5,1000.0,1897.0,63.0,51.0,62.0
894760547,0.8,0.060000000000000005,0.5,1000.0,1886.0,63.0,45.0,61.0
1737968140,0.8,0.060000000000000005,0.5,1000.0,1899.0,62.0,43.0,60.0
-599576751,0.8,0.060000000000000005,0.5,1000.0,1851.0,60.0,44.0,64.0
-1478056079,0.8,0.060000000000000005,0.5,1000.0,2011.0,62.0,49.0,64.0
1248898613,0.8,0.060000000000000005,0.5,1000.0,2087.0,65.0,47.0,65.0
1950974036,0.2,0.2,0.5,500.0,3545.0,38.0,59.0,35.0
-370350898,0.2,0.2,0.5,500.0,3129.0,33.0,57.0,34.0
1357228924,0.2,0.2,0.5,500.0,2766.0,33.0,59.0,37.0
-1976536760,0.2,0.2,0.5,500.0,2971.0,36.0,46.0,39.0
1676134870,0.2,0.2,0.5,500.0,2759.0,35.0,51.0,33.0
-820554514,0.2,0.2,0.5,500.0,3509.0,40.0,57.0,40.0
-879757791,0.2,0.2,0.5,500.0,3397.0,39.0,58.0,34.0
-1599518830,0.2,0.2,0.5,500.0,2898.0,45.0,53.0,41.0
-1633713842,0.2,0.2,0.5,500.0,2844.0,40.0,47.0,40.0
1196691870,0.2,0.2,0.5,500.0,2676.0,30.0,63.0,42.0
-1207572959,0.9,0.02,0.5,500.0,293.0,79.0,58.0,75.0
